"","File","T_mean","T_low10","DO_mean","DO_low10","pH_mean","pH_low10","OBJECTID","NAME","Area_sq_mi","Type","SHORTNAME","degx","degy","region","T_seasonalSD","pH_seasonalSD","DO_seasonalSD","T_eventSD","pH_eventSD","DO_eventSD","unsat_days","numdays.x","prcnt_unsat","hypo_days","numdays.y","prcnt_hypo"
"1","tphdo_mpa_1",14.9119748568584,12.58,6.72178526489918,4.952134288,7.54854543191436,7.383,1,"Ano Nuevo SMR",11.14629513,"SMR","Año Nuevo",-122.31915,37.10009,"centralca",1.13320199054749,0.0726923781220865,22.5099112010736,1.44354465720782,0.0923550958489225,30.5708517656981,3997,4017,99.5021160069704,252,4017,6.27333831217326
"2","tphdo_mpa_10",17.4829449838188,15.13,7.52769260758775,6.94053972,7.66738187702265,7.594,10,"Begg Rock SMR",37.96253171,"SMR","Begg Rock",-119.69552,33.36239,"channel",1.66590216389737,0.0298847388296111,7.80792188078844,1.19227291531897,0.0434473222345413,11.2577933039168,3944,4017,98.1827234254419,0,4017,0
"3","tphdo_mpa_100",17.1188623350759,14.97,7.55032516685088,7.09093408,7.6584926562111,7.599,100,"Skunk Point SMR",1.466828973,"SMR","Skunk Point",-119.9728,33.96914,"channel",1.40059347619793,0.0196592678685051,3.94341720451019,1.12105441163821,0.0387167030539089,9.71515043100136,4013,4017,99.9004232013941,0,4017,0
"4","tphdo_mpa_101",15.6065397062484,13.526,7.34991963777944,6.344082088,7.6092215583769,7.498,101,"Soquel Canyon SMCA",22.96827363,"SMCA","Soquel Canyon",-121.99349,36.82551,"centralca",1.1459048062606,0.0494240930839542,12.9872780021153,1.26685125242379,0.0626788299665756,17.1062262221558,4002,4017,99.6265870052278,0,4017,0
"5","tphdo_mpa_102",13.0478132935026,10.93,6.16278351478317,3.86225516,7.49623052028877,7.296,102,"South Cape Mendocino SMR",9.078664811,"SMR","South Cape Mendocino",-124.46433,40.42511,"norca",0.859470491401872,0.134887762475552,44.5696189363427,1.40073179449959,0.0918693407582528,31.9382765514465,3925,4017,97.7097336320637,941,4017,23.4254418720438
"6","tphdo_mpa_103",18.7113990540204,16.44,7.99397733683844,7.7117108,7.69345407020164,7.659,103,"South La Jolla SMCA",2.459629639,"SMCA","South La Jolla",-117.32807,32.81335,"socal",1.55660036831041,0.0151762390593884,4.24158305076341,1.1583511985435,0.0276357855562776,6.81052466373254,3967,4017,98.7552900174259,0,4017,0
"7","tphdo_mpa_104",18.464142394822,16.2,7.99530683639532,7.60611476,7.68488349514563,7.638,104,"South La Jolla SMR",5.043712534,"SMR","South La Jolla",-117.2929,32.81142,"socal",1.49296865104339,0.0189212251238702,6.60562387617695,1.2343751101635,0.0340680947089445,8.82003923324137,3993,4017,99.4025392083644,0,4017,0
"8","tphdo_mpa_105",16.9024869305452,14.7,7.49994278939507,6.91814056,7.64970799103809,7.571,105,"South Point FMR",1.884193271,"FMR","South Point",-120.14648,33.84538,"channel",1.39666974039665,0.0329181471709522,7.29460234862506,1.21578773963704,0.0476179685150456,11.4147073639703,4004,4017,99.6763754045307,0,4017,0
"9","tphdo_mpa_106",16.5184739855614,14.256,7.30939977321384,6.51815556,7.6263141647996,7.532,106,"South Point SMR",13.07726121,"SMR","South Point",-120.13848,33.87678,"channel",1.36898079210494,0.0408617939271753,10.3751483351386,1.24459274420606,0.0561302515709033,14.9575805376065,4017,4017,100,4,4017,0.0995767986059248
"10","tphdo_mpa_107",15.10699751058,13.01,7.38208492394324,6.4637576,7.61118272342544,7.504,107,"Southeast Farallon Island SMCA",12.94918523,"SMCA","Southeast Farallon Island",-123.03854,37.67669,"norca",1.10693548392718,0.0471866699876741,12.9465727701406,1.3110524088772,0.063125799018086,16.0131745567622,4004,4017,99.6763754045307,2,4017,0.0497883993029624
"11","tphdo_mpa_108",14.9440057256659,12.81,7.23123571418471,6.17256852,7.59601194921583,7.4836,108,"Southeast Farallon Island SMR",5.355468978,"SMR","Southeast Farallon Island",-123.01273,37.69232,"norca",1.09373631950672,0.0529950259314142,15.274419950076,1.32537299945241,0.0651964984574827,17.5323716285233,4010,4017,99.8257406024396,3,4017,0.0746825989544436
"12","tphdo_mpa_109",14.9440057256659,12.81,7.23123571418471,6.17256852,7.59601194921583,7.4836,109,"Southeast Farallon Island Special Closure",0.184249067,"Special Closure","Southeast Farallon Island",-123.003495,37.698785,"norca",1.09373631950672,0.0529950259314142,15.274419950076,1.32537299945241,0.0651964984574827,17.5323716285233,4010,4017,99.8257406024396,3,4017,0.0746825989544436
"13","tphdo_mpa_11",15.383216330595,13.03,6.92785299636744,5.370038616,7.56744062733383,7.415,11,"Big Creek SMCA",7.848350082,"SMCA","Big Creek",-121.67245,36.10374,"centralca",1.16322053976833,0.0648157175337185,20.1013969718405,1.40774996695364,0.0849554687799376,26.2623189655502,4012,4017,99.8755290017426,122,4017,3.03709235748071
